Project,Maker(s),Category,Featured,Overview,Scope,Materials,Fabrication Steps,Outcome,Image Folder Path,Url,Notes
18th Century Coat Replica,Philip Miu,"Props, Costumes & Art",FALSE,"Historically detailed 18th-century coat replica focused on historical garment reconstruction, textile sourcing, precision pattern design, and specialized tailoring.","Historical pattern drafting, material sourcing, structural tailoring, and allocation of funding for specialized textile supplies.","• Historically appropriate textiles (wool or similar period fabric)
 • Lining fabric
 • Thread, buttons, and period-appropriate trim/hardware
 • Pattern paper for drafting","1. Research the target period's coat construction and silhouette.
 2. Draft a custom pattern based on historical references and the wearer's measurements.
 3. Source period-appropriate textiles and trim.
 4. Cut the fabric pieces according to the pattern.
 5. Construct the coat using period-appropriate tailoring techniques (structured interlining, hand-finished details where applicable).
 6. Fit and adjust the coat, then finish with buttons and trim.
 7. Photograph the completed coat and document with video.",Successfully constructed a complete 18th-century coat replica with detailed photography and a video presentation.,images/Tiny Project 2026/Coat Pictures,,
3lb Combat Robot for NHRL,Lucas Dion,Robotics,FALSE,"Lightweight competition combat robot developed with WPI MakerBucks support, engineered through CAD modeling and finite element analysis for NHRL competition.","Concept development, CAD modeling, material selection and simulation, manufacturing and assembly, and pre-competition testing.","• Structural and mechanical components selected and validated through FEA
 • Drive motors and a weapon motor
 • Electronic speed controllers (ESCs)
 • Batteries (carefully rated to match motor/ESC requirements)
 • Wiring and electrical insulation","1. Define the concept: competition weight class, safety requirements, and general design approach.
 2. Model the complete robot in CAD.
 3. Run simulation and finite element analysis (FEA) to guide material selection and validate structural strength under expected combat loads.
 4. Manufacture components and assemble the robot.
 5. Test the assembled robot's drive and weapon systems, and prepare for competition.","Delivered a fully operational 3lb combat robot with functioning drivetrain and weapon system, ready for NHRL competition.",images/Tiny Project 2026/Development of a 3lb Combat Robot for NHRL Competition,,
ABV Meter,Leo Shraybman,"Electronics & Hardware, Science & Sensors",FALSE,"Portable alcohol-by-volume (ABV) meter developed with WPI MakerBucks support, combining a custom capacitive sensor with a 3D-printed enclosure.","Capacitance-based sensing circuit design, custom coaxial capacitor fabrication, microcontroller integration, and enclosure design for portability.","• Arduino Uno R3
 • A custom coaxial capacitor (3D-printed frame plus cut sheet metal), used as the sensing element
 • Heat-shrink tubing (to waterproof the capacitor's inner rod) and a heat gun
 • A small OLED display
 • 3D-printed enclosure/housing
 • A portable USB power bank
 • Breadboard, jumper wires, and basic RC-circuit components (resistor/capacitor) for the capacitance-sensing circuit","1. Build a simple capacitance-measurement circuit on a small breadboard, sized to eventually fit inside a portable 3D-printed housing.
 2. Attempt to use a dedicated capacitance-measurement chip; abandon it after finding its pins too fine-pitched to hand-solder reliably.
 3. Fall back to a simpler approach: test both a 555-oscillator circuit and a basic RC circuit for capacitance sensing — the RC circuit proves more effective for this use case.
 4. Fabricate a custom coaxial capacitor via 3D printing and metal cutting, sized to be dipped into a liquid sample.
 5. Waterproof the capacitor's inner rod with heat-shrink tubing (applied with a heat gun) so it can be safely submerged in liquid.
 6. Interface the capacitor and RC circuit with an Arduino Uno R3, and write C++ code to read the measurement.
 7. Design and 3D print a housing for all the electronics.
 8. Add a small OLED display, interfaced with the Arduino, to show the calculated ABV reading.
 9. Assemble all components into the housing, paying close attention to wire routing and internal space (wires take up more room than expected).
 10. Wire the assembly to a portable USB power bank for standalone, battery-powered operation.
 11. Build a calibration graph relating measured capacitance to known ABV values, and implement that calibration curve in the Arduino's C++ code.","Delivered a working portable ABV measurement device, with future plans to consolidate electronics onto a custom PCB for a more compact design.",images/Tiny Project 2026/ABV Meter,,
Battlebots for Competition,"Kekoto Maane, Azura Simsek & Klejvi Gjoni",Robotics,Fasle,"Competition combat robot developed with WPI MakerBucks support for entry into the National Havoc Robot League (NHRL), built as part of an MQP.","Iterative design brainstorming, parts sourcing, in-house part fabrication, robot assembly, and pre-competition testing.","• UHMW (ultra-high-molecular-weight polyethylene) structural material
 • AR500 steel (armor/structural plate)
 • Bolts and lock-nuts
 • Batteries
 • Motors and weapon-system hardware (drive and weapon motors, speed controllers, per typical combat-robot builds)","1. Brainstorm candidate robot designs as a team, meeting several times a week to iterate.
 2. Refine the design through multiple iterations until it's finalized.
 3. Order parts and materials, including UHMW, AR500, bolts, lock-nuts, and batteries.
 4. Machine custom parts in-house using campus machine shop tools, rather than outsourcing, to keep costs down.
 5. Assemble the complete 12lb combat robot.
 6. Test the robot's drive system and weapon.
 7. Iron out issues found during testing ahead of competition day.","Delivered a fully assembled 12lb combat robot ready for competition at the NHRL, with in-house fabrication helping the team stay within budget.",images/Tiny Project 2026/Battlebots for Competition,,
Custom Door Handle Flashlight,Kaden L.,"Design & Fabrication, Electronics & Hardware",TRUE,"Door handle with an integrated flashlight developed with WPI MakerBucks support, combining custom electronics with compact mechanical packaging.","Electronics housing design, rotary-encoder-based lighting controls, component stacking and integration, and functional testing.","• A 3D-printed PLA sleeve (electronics housing)
 • A rotary encoder (for on/off click and brightness dimming)
 • A single 18650 lithium-ion cell
 • A microcontroller
 • An LED ring (attempted; not fully functional in v1)
 • A capacitive touch sensor (attempted; not fully functional in v1)
 • A donor door handle (for reference and final mounting)","1. Research how a standard flashlight is put together (components and layout) to establish a working reference design.
 2. Design the internal electronics housing to fit inside a door-handle form factor.
 3. Choose a rotary encoder to serve double duty: click for on/off, twist for brightness dimming.
 4. Stack all electronics — microcontroller, driver circuitry, main LED, ring light, and battery holder — inside a single 3D-printed PLA sleeve.
 5. Wire a single 18650 cell to power the microcontroller, main light, and LED ring.
 6. Press-fit and glue the stacked components together inside the sleeve for the version-1 build.
 7. Test all functions: the main light and dimming worked as intended; the ring light and capacitive touch sensor did not work reliably in this version.","Delivered a working proof-of-concept flashlight handle, with an aluminum-machined version planned to improve durability and thermal performance.",images/Tiny Project 2026/Custom Door handle,,
Custom Leatherworking Project,Philip Miu,"Props, Costumes & Art",FALSE,"Custom leather goods project focused on hand craftsmanship, material sourcing, and developing practical leatherworking techniques.","Material selection, leather craft, design execution, and allocation of funding for supplies and tooling.","• Leather (hide, cut to pattern)
 • Leatherworking tools (cutting, stitching, edge-finishing tools)
 • Hardware/fasteners as needed for the specific piece (rivets, buckles, thread)","1. Choose the leather good to make and sketch or pattern its design.
 2. Source appropriate leather and confirm quantity/quality against the pattern.
 3. Cut the leather pieces to the pattern.
 4. Stitch and assemble the piece by hand, using appropriate leatherworking tools.
 5. Finish edges and add any hardware (rivets, buckles, etc.).
 6. Inspect the finished piece and document with photos and video.",Completed functional custom leather pieces with photo documentation and a video project showcase.,images/Tiny Project 2026/Custom Leatherworking Project,,
DEA Makers Lightsaber Prototype,Peter Story & Alex Knox,"Props, Costumes & Art, Electronics & Hardware",FALSE,"Custom functional lightsaber replica developed with WPI MakerBucks support, focusing on prop design, hardware integration, and rapid prototyping.","Custom hilt design, component integration, assembly, and allocation of funds for materials and 3D printing.","• Custom 3D-printed hilt components
 • Integrated electronic components (likely LED and/or sound elements, based on typical lightsaber-prop builds)
 • Fasteners and internal mounting hardware","1. Design the hilt in CAD, planning internal space for electronics.
 2. 3D print the hilt components.
 3. Source and integrate the electronic hardware (lighting/sound, per design).
 4. Assemble the electronics into the printed hilt.
 5. Finish and detail the hilt's exterior.
 6. Test the completed prop and document with photos and video.",Successfully constructed a functional prototype with visual documentation and a video demonstration.,images/Tiny Project 2026/Lightsaber,,
Drone Localization in 3D Space (UWB),Tair Kareneyev,"Robotics, Electronics & Hardware",TRUE,"Ultra-wideband (UWB) indoor localization system developed with WPI MakerBucks support, proving out real-time 3D tracking as a foundation for future drone swarm applications.","UWB anchor network setup and calibration, wireless telemetry development, real-time trilateration software, and signal-filtering optimization.","• 4x ESP32 microcontrollers (one per anchor)
 • 4x DW1000 UWB anchor modules
 • 1x ESP32 + DW1000 UWB tag module (the object being localized)
 • A local WiFi network (for UDP telemetry from the tag)
 • A laptop or PC running a custom Python backend","1. Set up a 4-anchor, 1-tag UWB network using ESP32 microcontrollers paired with DW1000 modules.
 2. Switch the UWB radios into a high-speed, high-frequency polling mode for rapid distance measurements.
 3. Manually calibrate each anchor's antenna delay offset over a known 6-meter reference distance, reducing per-anchor ranging error to under 5 cm.
 4. Program the tag to transmit raw distance readings wirelessly to a laptop over UDP via WiFi.
 5. Write a Python backend (using SciPy's least-squares solver) to compute the tag's real-time 3D position via trilateration from the four anchor distances.
 6. Apply a two-stage filter to the position output — a median filter to reject RF multipath spikes, followed by an exponential moving average — to smooth the tracked trajectory.
 7. Arrange the four anchors in a diagonal zig-zag pattern (two on the floor, two elevated, on opposite diagonals) to stabilize vertical (Z-axis) position estimates.
 8. Build a real-time 3D dashboard to visualize the tracked position.","Achieved real-time 3D tracking accurate to roughly 12 cm in the horizontal plane and 30 cm vertically, validating the concept ahead of planned outdoor and drone-mounted testing.",images/Tiny Project 2026/Drone localization in 3d space,,
Electric Motor Spinner Heat Vent,John Cassell,Engineering & Testing,FALSE,"Experimental electric aircraft motor developed with WPI MakerBucks support, exploring heat dissipation through a specially designed vented spinner.","Motor and spinner design for improved thermal venting, fabrication and assembly, and thermal performance testing.","• Motor components (stator, rotor, and standard motor hardware)
 • A custom-fabricated, vented spinner geometry
 • Supporting mounting hardware","1. Design a spinner geometry with venting intended to actively move heat away from the motor.
 2. Fabricate the custom spinner and integrate it with the motor assembly.
 3. Assemble the complete motor with the vented spinner installed.
 4. Run the motor under load and measure/observe temperature behavior, comparing against a standard (non-vented) spinner if possible.
 5. Document the venting performance on video.","Successfully demonstrated effective heat venting through the spinner design, with future work planned around vapor chambers and alternate spinner geometries.",images/Tiny Project 2026/Electric motor that vents heat through its spinner to reduce heat drag in electric aircraft,,
Engine Dynamometer Test Rig,Harrison Brown,Engineering & Testing,FALSE,"Engine dynamometer prototype designed to collect engine performance data for future experimental projects, including development of a hybrid-electric go-kart.","Hardware design, material sourcing, structural fabrication, and data collection setup for small engine testing.","• Structural materials for the rig frame
 • Hardware (fasteners, mounts) to secure the test engine
 • Data-collection components/sensors for measuring engine output","1. Design the dynamometer frame and mounting layout for the target test engine.
 2. Source structural materials and hardware.
 3. Fabricate the frame and mounting points.
 4. Install the load/braking mechanism used to apply resistance to the engine.
 5. Integrate sensors and a data-collection setup to record engine performance metrics.
 6. Mount the test engine to the rig and run initial calibration tests.
 7. Collect and document engine performance data.",Delivered a functional dynamometer testing rig with media assets and invoice documentation.,images/Tiny Project 2026/Engine Dynamometer Test Rig,,
